DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Non-Hispanic,2021 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4584
Non-Hispanic,Total,Neurotic stress-related and somatoform disorders(F40-F48),8,N/A,4587
Unknown,2020 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4590
Unknown,2021 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4593
Unknown,Total,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4596
Total,2020 **,Neurotic stress-related and somatoform disorders(F40-F48),8,N/A,4599
Total,2021 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4602
Total,Total,Neurotic stress-related and somatoform disorders(F40-F48),8,N/A,4605
Hispanic,2020 **,Mental retardation (F70-F79),0,N/A,4608
Hispanic,2021 **,Mental retardation (F70-F79),0,N/A,4611
Hispanic,Total,Mental retardation (F70-F79),0,N/A,4614
Non-Hispanic,2020 **,Mental retardation (F70-F79),20,0.1,4617
Non-Hispanic,2021 **,Mental retardation (F70-F79),0,N/A,4620
Non-Hispanic,Total,Mental retardation (F70-F79),20,0.1,4623
Unknown,2020 **,Mental retardation (F70-F79),0,N/A,4626
Unknown,2021 **,Mental retardation (F70-F79),0,N/A,4629
Unknown,Total,Mental retardation (F70-F79),0,N/A,4632
Total,2020 **,Mental retardation (F70-F79),20,0.1,4635
Total,2021 **,Mental retardation (F70-F79),0,N/A,4638
Total,Total,Mental retardation (F70-F79),20,0.1,4641
Hispanic,2020 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4644
Hispanic,2021 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4647
Hispanic,Total,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4650
Non-Hispanic,2020 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),21,0.2,4653
Non-Hispanic,2021 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4656
Non-Hispanic,Total,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),21,0.1,4659
Unknown,2020 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4662
Unknown,2021 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4665
Unknown,Total,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4668
Total,2020 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),21,0.2,4671
Total,2021 **,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),0,N/A,4674
Total,Total,Other and unspecified mental and behavioral disorders(F50-F69F80-F99),21,0.1,4677
Hispanic,2020 **,Meningitis (G00G03),0,N/A,4680
Hispanic,2021 **,Meningitis (G00G03),0,N/A,4683
Hispanic,Total,Meningitis (G00G03),0,N/A,4686
Non-Hispanic,2020 **,Meningitis (G00G03),13,0.1,4689
Non-Hispanic,2021 **,Meningitis (G00G03),0,N/A,4692
Non-Hispanic,Total,Meningitis (G00G03),13,0.1,4695
Unknown,2020 **,Meningitis (G00G03),0,N/A,4698
Unknown,2021 **,Meningitis (G00G03),0,N/A,4701
Unknown,Total,Meningitis (G00G03),0,N/A,4704
Total,2020 **,Meningitis (G00G03),13,0.1,4707
Total,2021 **,Meningitis (G00G03),0,N/A,4710
Total,Total,Meningitis (G00G03),13,0.0,4713
Hispanic,2020 **,Other inflammatory diseases of central nervous system(G04-G09),1,N/A,4716
Hispanic,2021 **,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4719
Hispanic,Total,Other inflammatory diseases of central nervous system(G04-G09),1,N/A,4722
Non-Hispanic,2020 **,Other inflammatory diseases of central nervous system(G04-G09),23,0.2,4725
Non-Hispanic,2021 **,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4728
Non-Hispanic,Total,Other inflammatory diseases of central nervous system(G04-G09),23,0.1,4731
Unknown,2020 **,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4734
Unknown,2021 **,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4737
Unknown,Total,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4740
Total,2020 **,Other inflammatory diseases of central nervous system(G04-G09),24,0.2,4743
Total,2021 **,Other inflammatory diseases of central nervous system(G04-G09),0,N/A,4746
Total,Total,Other inflammatory diseases of central nervous system(G04-G09),24,0.1,4749
Hispanic,2020 **,Parkinson's disease (G20-G21),5,N/A,4752
Hispanic,2021 **,Parkinson's disease (G20-G21),0,N/A,4755
Hispanic,Total,Parkinson's disease (G20-G21),5,N/A,4758
Non-Hispanic,2020 **,Parkinson's disease (G20-G21),1521,10.1,4761
Non-Hispanic,2021 **,Parkinson's disease (G20-G21),6,N/A,4764
Non-Hispanic,Total,Parkinson's disease (G20-G21),1527,5.1,4767
Unknown,2020 **,Parkinson's disease (G20-G21),0,N/A,4770
Unknown,2021 **,Parkinson's disease (G20-G21),0,N/A,4773
Unknown,Total,Parkinson's disease (G20-G21),0,N/A,4776
Total,2020 **,Parkinson's disease (G20-G21),1526,10.0,4779
Total,2021 **,Parkinson's disease (G20-G21),6,N/A,4782
Total,Total,Parkinson's disease (G20-G21),1532,5.0,4785
Hispanic,2020 **,Alzheimer's disease(G30),39,18.9,4788
Hispanic,2021 **,Alzheimer's disease(G30),0,N/A,4791
Hispanic,Total,Alzheimer's disease(G30),39,9.4,4794
Non-Hispanic,2020 **,Alzheimer's disease(G30),5381,34.9,4797
Non-Hispanic,2021 **,Alzheimer's disease(G30),10,0.1,4800
Non-Hispanic,Total,Alzheimer's disease(G30),5391,17.5,4803
Unknown,2020 **,Alzheimer's disease(G30),2,N/A,4806
Unknown,2021 **,Alzheimer's disease(G30),0,N/A,4809
Unknown,Total,Alzheimer's disease(G30),2,N/A,4812
Total,2020 **,Alzheimer's disease(G30),5422,34.7,4815
Total,2021 **,Alzheimer's disease(G30),10,0.1,4818
Total,Total,Alzheimer's disease(G30),5432,17.4,4821
Hispanic,2020 **,Multiple sclerosis (G35),3,N/A,4824
Hispanic,2021 **,Multiple sclerosis (G35),0,N/A,4827
Hispanic,Total,Multiple sclerosis (G35),3,N/A,4830
Non-Hispanic,2020 **,Multiple sclerosis (G35),231,1.5,4833
Non-Hispanic,2021 **,Multiple sclerosis (G35),0,N/A,4836
Non-Hispanic,Total,Multiple sclerosis (G35),231,0.8,4839
Unknown,2020 **,Multiple sclerosis (G35),0,N/A,4842
Unknown,2021 **,Multiple sclerosis (G35),0,N/A,4845
Unknown,Total,Multiple sclerosis (G35),0,N/A,4848
Total,2020 **,Multiple sclerosis (G35),234,1.5,4851
Total,2021 **,Multiple sclerosis (G35),0,N/A,4854
Total,Total,Multiple sclerosis (G35),234,0.8,4857
Hispanic,2020 **,Epilepsy (G40-G41),3,N/A,4860
Hispanic,2021 **,Epilepsy (G40-G41),0,N/A,4863
Hispanic,Total,Epilepsy (G40-G41),3,N/A,4866
Non-Hispanic,2020 **,Epilepsy (G40-G41),105,0.8,4869
Non-Hispanic,2021 **,Epilepsy (G40-G41),0,N/A,4872
Non-Hispanic,Total,Epilepsy (G40-G41),105,0.4,4875
Unknown,2020 **,Epilepsy (G40-G41),0,N/A,4878
Unknown,2021 **,Epilepsy (G40-G41),0,N/A,4881
Unknown,Total,Epilepsy (G40-G41),0,N/A,4884
Total,2020 **,Epilepsy (G40-G41),108,0.8,4887
Total,2021 **,Epilepsy (G40-G41),0,N/A,4890
Total,Total,Epilepsy (G40-G41),108,0.4,4893
Hispanic,2020 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4896
Hispanic,2021 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4899
Hispanic,Total,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4902
Non-Hispanic,2020 **,Transient cerebral ischemic attacks and related syndromes(G45),10,0.1,4905
Non-Hispanic,2021 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4908
Non-Hispanic,Total,Transient cerebral ischemic attacks and related syndromes(G45),10,0.0,4911
Unknown,2020 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4914
Unknown,2021 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4917
Unknown,Total,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4920
Total,2020 **,Transient cerebral ischemic attacks and related syndromes(G45),10,0.1,4923
Total,2021 **,Transient cerebral ischemic attacks and related syndromes(G45),0,N/A,4926
Total,Total,Transient cerebral ischemic attacks and related syndromes(G45),10,0.0,4929
Hispanic,2020 **,Infantile cerebral palsy (G80),1,N/A,4932
Hispanic,2021 **,Infantile cerebral palsy (G80),0,N/A,4935
Hispanic,Total,Infantile cerebral palsy (G80),1,N/A,4938
Non-Hispanic,2020 **,Infantile cerebral palsy (G80),80,0.7,4941
Non-Hispanic,2021 **,Infantile cerebral palsy (G80),0,N/A,4944
Non-Hispanic,Total,Infantile cerebral palsy (G80),80,0.3,4947
Unknown,2020 **,Infantile cerebral palsy (G80),0,N/A,4950
Unknown,2021 **,Infantile cerebral palsy (G80),0,N/A,4953
Unknown,Total,Infantile cerebral palsy (G80),0,N/A,4956
Total,2020 **,Infantile cerebral palsy (G80),81,0.7,4959
Total,2021 **,Infantile cerebral palsy (G80),0,N/A,4962
Total,Total,Infantile cerebral palsy (G80),81,0.3,4965
Hispanic,2020 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),25,9.2,4968
Hispanic,2021 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),0,N/A,4971
Hispanic,Total,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),25,4.6,4974
Non-Hispanic,2020 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),2354,15.9,4977
Non-Hispanic,2021 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),5,N/A,4980
Non-Hispanic,Total,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),2359,8.0,4983
Unknown,2020 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),1,N/A,4986
Unknown,2021 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),0,N/A,4989
Unknown,Total,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),1,N/A,4992
Total,2020 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),2380,15.8,4995
Total,2021 **,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),5,N/A,4998
Total,Total,All other diseases of nervous system (G10-G12G23-G25G31G36-G37G43-G44G47-G72G81-G98),2385,7.9,5001
Hispanic,2020 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5004
Hispanic,2021 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5007
Hispanic,Total,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5010
Non-Hispanic,2020 **,VII.Diseases of the eye and adnexa(H00-H57),3,N/A,5013
Non-Hispanic,2021 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5016
Non-Hispanic,Total,VII.Diseases of the eye and adnexa(H00-H57),3,N/A,5019
Unknown,2020 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5022
Unknown,2021 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5025
Unknown,Total,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5028
Total,2020 **,VII.Diseases of the eye and adnexa(H00-H57),3,N/A,5031
Total,2021 **,VII.Diseases of the eye and adnexa(H00-H57),0,N/A,5034
Total,Total,VII.Diseases of the eye and adnexa(H00-H57),3,N/A,5037
Hispanic,2020 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5040
Hispanic,2021 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5043
Hispanic,Total,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5046
Non-Hispanic,2020 **,VIII.Diseases of the ear and mastoid process (H60-H93),6,N/A,5049
Non-Hispanic,2021 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5052
Non-Hispanic,Total,VIII.Diseases of the ear and mastoid process (H60-H93),6,N/A,5055
Unknown,2020 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5058
Unknown,2021 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5061
Unknown,Total,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5064
Total,2020 **,VIII.Diseases of the ear and mastoid process (H60-H93),6,N/A,5067
Total,2021 **,VIII.Diseases of the ear and mastoid process (H60-H93),0,N/A,5070
Total,Total,VIII.Diseases of the ear and mastoid process (H60-H93),6,N/A,5073
Hispanic,2020 **,Acute rheumatic fever(I00-I02),0,N/A,5076
Hispanic,2021 **,Acute rheumatic fever(I00-I02),0,N/A,5079
Hispanic,Total,Acute rheumatic fever(I00-I02),0,N/A,5082
Non-Hispanic,2020 **,Acute rheumatic fever(I00-I02),2,N/A,5085
Non-Hispanic,2021 **,Acute rheumatic fever(I00-I02),0,N/A,5088
Non-Hispanic,Total,Acute rheumatic fever(I00-I02),2,N/A,5091
Unknown,2020 **,Acute rheumatic fever(I00-I02),0,N/A,5094
Unknown,2021 **,Acute rheumatic fever(I00-I02),0,N/A,5097
Unknown,Total,Acute rheumatic fever(I00-I02),0,N/A,5100
Total,2020 **,Acute rheumatic fever(I00-I02),2,N/A,5103
Total,2021 **,Acute rheumatic fever(I00-I02),0,N/A,5106
Total,Total,Acute rheumatic fever(I00-I02),2,N/A,5109
Hispanic,2020 **,Rheumatic mitral valve diseases (I05),3,N/A,5112
Hispanic,2021 **,Rheumatic mitral valve diseases (I05),0,N/A,5115
Hispanic,Total,Rheumatic mitral valve diseases (I05),3,N/A,5118
Non-Hispanic,2020 **,Rheumatic mitral valve diseases (I05),75,0.5,5121
Non-Hispanic,2021 **,Rheumatic mitral valve diseases (I05),0,N/A,5124
Non-Hispanic,Total,Rheumatic mitral valve diseases (I05),75,0.2,5127
Unknown,2020 **,Rheumatic mitral valve diseases (I05),0,N/A,5130
Unknown,2021 **,Rheumatic mitral valve diseases (I05),0,N/A,5133
Unknown,Total,Rheumatic mitral valve diseases (I05),0,N/A,5136
Total,2020 **,Rheumatic mitral valve diseases (I05),78,0.5,5139
Total,2021 **,Rheumatic mitral valve diseases (I05),0,N/A,5142
Total,Total,Rheumatic mitral valve diseases (I05),78,0.2,5145
Hispanic,2020 **,Rheumatic aortic valve diseases (I06),0,N/A,5148
Hispanic,2021 **,Rheumatic aortic valve diseases (I06),0,N/A,5151
Hispanic,Total,Rheumatic aortic valve diseases (I06),0,N/A,5154
Non-Hispanic,2020 **,Rheumatic aortic valve diseases (I06),4,N/A,5157
Non-Hispanic,2021 **,Rheumatic aortic valve diseases (I06),0,N/A,5160
Non-Hispanic,Total,Rheumatic aortic valve diseases (I06),4,N/A,5163
Unknown,2020 **,Rheumatic aortic valve diseases (I06),0,N/A,5166
Unknown,2021 **,Rheumatic aortic valve diseases (I06),0,N/A,5169
Unknown,Total,Rheumatic aortic valve diseases (I06),0,N/A,5172
Total,2020 **,Rheumatic aortic valve diseases (I06),4,N/A,5175
Total,2021 **,Rheumatic aortic valve diseases (I06),0,N/A,5178
Total,Total,Rheumatic aortic valve diseases (I06),4,N/A,5181
Hispanic,2020 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5184
Hispanic,2021 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5187
Hispanic,Total,Disorders of both mitral and aortic valves (I08.0),0,N/A,5190
Non-Hispanic,2020 **,Disorders of both mitral and aortic valves (I08.0),30,0.2,5193
Non-Hispanic,2021 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5196
Non-Hispanic,Total,Disorders of both mitral and aortic valves (I08.0),30,0.1,5199
Unknown,2020 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5202
Unknown,2021 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5205
Unknown,Total,Disorders of both mitral and aortic valves (I08.0),0,N/A,5208
Total,2020 **,Disorders of both mitral and aortic valves (I08.0),30,0.2,5211
Total,2021 **,Disorders of both mitral and aortic valves (I08.0),0,N/A,5214
Total,Total,Disorders of both mitral and aortic valves (I08.0),30,0.1,5217
Hispanic,2020 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5220
Hispanic,2021 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5223
Hispanic,Total,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5226
Non-Hispanic,2020 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),53,0.4,5229
Non-Hispanic,2021 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5232
Non-Hispanic,Total,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),53,0.2,5235
Unknown,2020 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5238
Unknown,2021 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5241
Unknown,Total,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5244
Total,2020 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),53,0.4,5247
Total,2021 **,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),0,N/A,5250
Total,Total,Other chronic rheumatic heart diseases (I07I08.1-I08.9I09),53,0.2,5253
Hispanic,2020 **,Essential (primary) hypertension (I10),8,N/A,5256
Hispanic,2021 **,Essential (primary) hypertension (I10),0,N/A,5259
Hispanic,Total,Essential (primary) hypertension (I10),8,N/A,5262
Non-Hispanic,2020 **,Essential (primary) hypertension (I10),888,5.8,5265
Non-Hispanic,2021 **,Essential (primary) hypertension (I10),0,N/A,5268
Non-Hispanic,Total,Essential (primary) hypertension (I10),888,2.9,5271
Unknown,2020 **,Essential (primary) hypertension (I10),0,N/A,5274
Unknown,2021 **,Essential (primary) hypertension (I10),0,N/A,5277
Unknown,Total,Essential (primary) hypertension (I10),0,N/A,5280
Total,2020 **,Essential (primary) hypertension (I10),896,5.8,5283
Total,2021 **,Essential (primary) hypertension (I10),0,N/A,5286
Total,Total,Essential (primary) hypertension (I10),896,2.9,5289
Hispanic,2020 **,Hypertensive heart disease (I11),18,5.9,5292
Hispanic,2021 **,Hypertensive heart disease (I11),0,N/A,5295
Hispanic,Total,Hypertensive heart disease (I11),18,2.9,5298
Non-Hispanic,2020 **,Hypertensive heart disease (I11),1995,13.4,5301
Non-Hispanic,2021 **,Hypertensive heart disease (I11),4,N/A,5304
Non-Hispanic,Total,Hypertensive heart disease (I11),1999,6.7,5307
Unknown,2020 **,Hypertensive heart disease (I11),1,N/A,5310
Unknown,2021 **,Hypertensive heart disease (I11),0,N/A,5313
Unknown,Total,Hypertensive heart disease (I11),1,N/A,5316
Total,2020 **,Hypertensive heart disease (I11),2014,13.3,5319
Total,2021 **,Hypertensive heart disease (I11),4,N/A,5322
Total,Total,Hypertensive heart disease (I11),2018,6.6,5325
Hispanic,2020 **,Hypertensive renal disease (I12),3,N/A,5328
Hispanic,2021 **,Hypertensive renal disease (I12),0,N/A,5331
Hispanic,Total,Hypertensive renal disease (I12),3,N/A,5334
Non-Hispanic,2020 **,Hypertensive renal disease (I12),531,3.5,5337
Non-Hispanic,2021 **,Hypertensive renal disease (I12),4,N/A,5340
Non-Hispanic,Total,Hypertensive renal disease (I12),535,1.8,5343
Unknown,2020 **,Hypertensive renal disease (I12),0,N/A,5346
Unknown,2021 **,Hypertensive renal disease (I12),0,N/A,5349
Unknown,Total,Hypertensive renal disease (I12),0,N/A,5352
Total,2020 **,Hypertensive renal disease (I12),534,3.5,5355
Total,2021 **,Hypertensive renal disease (I12),4,N/A,5358
Total,Total,Hypertensive renal disease (I12),538,1.8,5361
Hispanic,2020 **,Hypertensive heart and renal disease(I13),3,N/A,5364
Hispanic,2021 **,Hypertensive heart and renal disease(I13),0,N/A,5367
Hispanic,Total,Hypertensive heart and renal disease(I13),3,N/A,5370
Non-Hispanic,2020 **,Hypertensive heart and renal disease(I13),405,2.6,5373
Non-Hispanic,2021 **,Hypertensive heart and renal disease(I13),2,N/A,5376
Non-Hispanic,Total,Hypertensive heart and renal disease(I13),407,1.3,5379
Unknown,2020 **,Hypertensive heart and renal disease(I13),0,N/A,5382
Unknown,2021 **,Hypertensive heart and renal disease(I13),0,N/A,5385
Unknown,Total,Hypertensive heart and renal disease(I13),0,N/A,5388
Total,2020 **,Hypertensive heart and renal disease(I13),408,2.6,5391
Total,2021 **,Hypertensive heart and renal disease(I13),2,N/A,5394
